Account_Name,Store_Status
Cobs-Upper Oakville 9309,Open
KFC Burlington 2020,Open
KFC Hamilton 1425,Open
KFC New Westminster 1803,Open
KFC Prince George 30-056,Open
Cobs-Cranbrook 9067,Open
KFC Ottawa 1405,Open
COBS- Tuxedo Park 9402,Open
Cobs-Pine Center 9065,Open
7-11 Calgary 38493,Open
7-11 Sicamous 38718,Open
7-11 Edmonton 38652,Open
7-11 Edmonton 38502,Open
7-11 Saskatoon 38272,Open
7-11 Saskatoon 38422,Open
7-11 Calgary 38558,Open
7-11 Edmonton 38543,Open
7-11 Calgary 38511,Open
7-11 Winnipeg 17060,Open
7-11 Vancouver 22651,Open
COBS-Ridley Square 9331,Open
Taco Bell Brantford 49- 017,Open
7-11 Cochrane 38420,Open
7-11 Claresholm 38120,Open
7-11 Calgary 37557,Open
KFC Polo Park 1944,Open
COBS-The Annex 9306,Open
Web Presence Design Lab,Open
7-11 Richmond 33197,Open
7-11 Vancouver 37856,Open
7-11 Vancouver 33424,Open
7-11 Calgary 37795,Open
7-11 Calgary 37281,Open
7-11 Calgary 32741,Open
7-11 Calgary 37778,Open
7-11 Calgary 32344,Open
7-11 Calgary 34680,Open
7-11 Calgary 37799,Open
7-11 Langley 37337,Open
Auxe Inc.,Open
Web Presence Design Lab USD,Open
7-11 Calgary 37791,Open
7-11 Cochrane 41107,Open
Mélanie Beaulieu,Open
7424559 Manitoba Inc.,Open
"GCC Healthy Fast Casual, Corporation",Open
MKE Catering LLC,Open
2649443 Ontario Inc.,Open
Alak Group Inc.,Open
Mark Redmond and Spencer Redmond,Open
